"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Hamburg","","Germany","700","700","","","Source 1 :  FB",NA,NA,"Hamburg, Germany","Hamburg, Germany",NA,NA,NA
"Hamilton","","Bermuda","120","250","","","Source 1 :  FB","Source 2 :  Eyewitness on site",NA,"Hamilton, Bermuda","Hamilton, Bermuda",NA,NA,NA
"Hamilton","","Canada","200","1,000","","","Source 1 :  thespec.com","Source 2",NA,"Hamilton, Canada","Hamilton, Canada",NA,"http://www.cbc.ca/news/canada/hamilton/hamilton-womens-march-1.3947205",NA
"Hanoi","","Vietnam","27","27","","","Source 1 :  via email (JP)",NA,NA,"Hanoi, Vietnam","Hanoi, Vietnam",NA,NA,NA
"Heidelberg","","Germany","800","1,000","","","Source 1","Source 2","Source 3","Heidelberg, Germany","Heidelberg, Germany","http://www.rnz.de/nachrichten/heidelberg_artikel,-Rund-800-Teilnehmer-bei-Womens-March-in-Heidelberg-Plus-Fotogalerie-_arid,249938.html","http://www.stuttgarter-nachrichten.de/inhalt.heidelberg-fast-1000-teilnehmer-beim-women-s-march.9b500cda-fb9d-4837-9e50-192d61089dd9.html","http://www.rp-online.de/politik/ausland/women-s-march-frauen-marschieren-gegen-praesident-donald-trump-aid-1.6550376"
"Helsinki","","Finland","200","300","","","Source 1","Source 2",NA,"Helsinki, Finland","Helsinki, Finland",NA,"https://t.co/BFxbyR3v9E","http://yle.fi/uutiset/3-9416528"
"Ho Chi Minh City","","Vietnam","24","24","","","Source 1",NA,NA,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",NA,NA,"https://www.facebook.com/events/1296438397116272/"
"Huntsville","","Canada","30","30","","","Source 1",NA,NA,"Huntsville, Canada","Huntsville, Canada",NA,NA,"https://doppleronline.ca/huntsville/sistermarch-huntsville-january-21/"
"Isla Mujeres","","Mexico","5","5","","","Source 1 :  headcount from FB photo",NA,NA,"Isla Mujeres, Mexico","Isla Mujeres, Mexico",NA,NA,NA
"Isle of Eigg","","United Kingdom","21","30","","","Source 1","Source 2",NA,"Isle of Eigg, United Kingdom","Isle of Eigg, United Kingdom",NA,"https://twitter.com/isleofeigg/status/823116854285795328","https://twitter.com/incredimella/status/822939921136701441"
"Jaipur","","India","14","14","","","Source 1 :  Eyewitness onsite",NA,NA,"Jaipur, India","Jaipur, India",NA,NA,NA
"Jos","","Nigeria","","","","",NA,NA,NA,"Jos, Nigeria","Jos, Nigeria",NA,NA,NA
"Kamloops","","Canada","200","200","","","Source 1","Source 2","Source 3","Kamloops, Canada","Kamloops, Canada","https://www.kamloopsbcnow.com/watercooler/news/news/Kamloops/17/01/21/Women_s_March_on_Washington_comes_to_Kamloops/","https://www.facebook.com/events/1326272374062846/","http://www.everythingkamloops.com/article/556555/womens-march-against-president-donald-trump-draws-hundreds-downtown"
"Kampala","","Uganda","50","80","","","Source 1","Source 2 :  photo from event with headcount",NA,"Kampala, Uganda","Kampala, Uganda",NA,NA,"https://www.facebook.com/events/1722671988048357/?ti=icl"
"Kassel","","Germany","100","100","","","Source 1",NA,NA,"Kassel, Germany","Kassel, Germany",NA,NA,"https://www.facebook.com/savkassel/photos/pcb.1415782411787364/1415782091787396/?type=3&theater"
"Kelowna","","Canada","343","500","","","Source 1","Source 2",NA,"Kelowna, Canada","Kelowna, Canada",NA,"http://www.saobserver.net/news/411418245.html","https://www.facebook.com/events/202959853499906"
"Kingston","","Canada","500","1,000","","","Source 1","Source 2 :  Eyewitness",NA,"Kingston, Canada","Kingston, Canada",NA,NA,"https://www.facebook.com/events/951645474967260/"
"Kinshasa","","DRC","20","20","","","Source 1 :  FB",NA,NA,"Kinshasa, DRC","Kinshasa, DRC",NA,NA,NA
"Kolonia","","Micronesia","4","4","","","Source 1 :  Eyewitness on site; photographic evidence",NA,NA,"Kolonia, Micronesia","Kolonia, Micronesia",NA,NA,NA
"La Manzanilla","","Mexico","200","360","","","Source 1 :  Eyewitnesses on site",NA,NA,"La Manzanilla, Mexico","La Manzanilla, Mexico",NA,NA,NA
"La Ventana","","Mexico","115","200","","","Source 1 :  Eyewitnesses on site",NA,NA,"La Ventana, Mexico","La Ventana, Mexico",NA,NA,NA
"Lancaster","","United Kingdom","280","500","","","Source 1 :  FB","Source 2 :  Eyewitness on site",NA,"Lancaster, United Kingdom","Lancaster, United Kingdom",NA,NA,NA
"Leeds","","United Kingdom","580","2,500","","","Source 1 :  FB","Source 2 :  Eyewitnesses on site; organizer's estimate","Source 3","Leeds, United Kingdom","Leeds, United Kingdom","http://www.yorkshireeveningpost.co.uk/news/women-march-against-donald-trump-in-leeds-city-centre-1-8346395",NA,NA
"Leipzig","","Germany","20","30","","","Source 1",NA,NA,"Leipzig, Germany","Leipzig, Germany",NA,NA,"https://www.facebook.com/leipglo/?fref=ts"
"Lerwick","","United Kingdom","40","52","","","Source 1","Source 2 :  Event organizer's estimate",NA,"Lerwick, United Kingdom","Lerwick, United Kingdom",NA,NA,"http://www.shetlandtimes.co.uk/2017/01/21/anger-trump-voiced-sister-march-takes-place-lerwick?utm_source=dlvr.it&utm_medium=facebook"
"Lethbridge","","Canada","500","600","","","Source 1",NA,NA,"Lethbridge, Canada","Lethbridge, Canada",NA,NA,"http://lethbridgeherald.com/news/lethbridge-news/2017/01/22/women-march-solidarity/"
"Lilongwe","","Malawi","40","60","","","Source 1 :  FB photo w approximate headcount",NA,NA,"Lilongwe, Malawi","Lilongwe, Malawi",NA,NA,NA
