"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Pence","Wisconsin","United States","1","1","","","Source 1 :  FB",NA,NA,"Pence, Wisconsin","Pence, Wisconsin, United States",NA,NA,NA
"Pendelton","Oregon","United States","425","650","","","Source 1","Source 2 :  Eyewitness on site",NA,"Pendelton, Oregon","Pendelton, Oregon, United States",NA,NA,"http://www.eastoregonian.com/eo/local-news/20170121/protestors-pack-pendleton-for-womens-march"
"Pensacola","Florida","United States","2,000","2,000","","","Source 1",NA,NA,"Pensacola, Florida","Pensacola, Florida, United States",NA,NA,"http://www.pnj.com/story/news/local/pensacola/downtown/2017/01/21/hundreds-brave-rain-join-pensacola-march-women/96795864/"
"Pentwater","Michigan","United States","2","2","","","Source 1 :  Eyewitness on site",NA,NA,"Pentwater, Michigan","Pentwater, Michigan, United States",NA,NA,NA
"Peoria","Illinois","United States","1,500","2,000","","","Source 1","Source 2 :  FB",NA,"Peoria, Illinois","Peoria, Illinois, United States",NA,NA,"http://www.centralillinoisproud.com/news/local-news/peoria-rally-in-support-of-womens-march-on-washington/643865167"
"Pequannock Township","New Jersey","United States","800","1,000","","","Source 1","Source 2",NA,"Pequannock Township, New Jersey","Pequannock Township, New Jersey, United States",NA,"http://www.dailyrecord.com/story/money/2017/01/21/womens-march-stops-traffic-pequannock/96770784/","http://www.northjersey.com/story/news/2017/01/21/crowds-gathering-womens-march-protests/96778388/"
"Peterborough","New Hampshire","United States","50","60","","","Source 1 :  Eyewitness on site",NA,NA,"Peterborough, New Hampshire","Peterborough, New Hampshire, United States",NA,NA,NA
"Petersburg","Alaska","United States","50","80","","","Source 1 :  Eyewitness on site",NA,NA,"Petersburg, Alaska","Petersburg, Alaska, United States",NA,NA,NA
"Philadelphia","Pennsylvania","United States","50,000","50,000","","","Source 1",NA,NA,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania, United States",NA,NA,"http://www.philly.com/philly/blogs/real-time/Womens-Marches-in-Washington-DC-and-Philadelphia-Live-updates-Jan-21-2017.html"
"Phoenix","Arizona","United States","20,000","25,000","","","Source 1","Source 2",NA,"Phoenix, Arizona","Phoenix, Arizona, United States",NA,"http://kjzz.org/content/424597/many-25000-turn-out-womens-march-phoenix","http://www.azcentral.com/story/news/local/phoenix/2017/01/21/phoenix-womens-march-sister-washington-capitol/96849890/"
"Pierre","South Dakota","United States","130","135","","","Source 1 :  onsite eyewitness did a headcount via google form",NA,NA,"Pierre, South Dakota","Pierre, South Dakota, United States",NA,NA,NA
"Pikeville","Kentucky","United States","100","100","","","Source 1","Source 2 :  FB",NA,"Pikeville, Kentucky","Pikeville, Kentucky, United States",NA,NA,"https://twitter.com/sheila_isaac/status/823375791601963008"
"Pinedale","Wyoming","United States","100","100","","","Source 1 :  FB",NA,NA,"Pinedale, Wyoming","Pinedale, Wyoming, United States",NA,NA,NA
"Pittsburgh","Pennsylvania","United States","25,000","25,000","","","Source 1",NA,NA,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania, United States",NA,NA,"http://www.post-gazette.com/local/city/2017/01/21/Pittsburgh-groups-protest-against-Trump/stories/201701210111"
"Pittsfield","Massachusetts","United States","1,500","1500","","","Source 1",NA,NA,"Pittsfield, Massachusetts","Pittsfield, Massachusetts, United States",NA,NA,"http://theberkshireedge.com/sister-march-at-colonial-theatre-draws-throngs-from-across-the-berkshires/"
"Plattsburgh","New York","United States","182","700","","","Source 1","Source 2",NA,"Plattsburgh, New York","Plattsburgh, New York, United States",NA,"http://www.pressrepublican.com/news/downtown-march-celebrates-inclusion-diversity/article_c17631da-93b2-51c6-989c-af1d14963c90.html","https://twitter.com/elodiemet/status/823227264645132288"
"Plymouth","Wisconsin","United States","200","200","","","Source 1","Source 2 :  onsite eyewitness via google form",NA,"Plymouth, Wisconsin","Plymouth, Wisconsin, United States",NA,NA,"http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/"
"Pocatello","Idaho","United States","1,200","1,200","","","Source 1",NA,NA,"Pocatello, Idaho","Pocatello, Idaho, United States",NA,NA,"http://idahostatejournal.com/members/marchers-show-up-in-droves-for-women-s-march-on/article_fe93fb5e-f29b-5784-bda9-6f66cc342649.html"
"Point Reyes Station","California","United States","35","85","","","Source 1 :  Eyewitness on site",NA,NA,"Point Reyes Station, California","Point Reyes Station, California, United States",NA,NA,NA
"Pompton Plains","","","","","","","Source 1 :  See Pequannock Township, NJ",NA,NA,NA,NA,NA,NA,NA
"Port Angeles","Washington","United States","100","200","","","Source 1 :  FB","Source 2",NA,"Port Angeles, Washington","Port Angeles, Washington, United States",NA,"http://www.peninsuladailynews.com/news/over-200-march-in-port-angeles-gathering-for-hope/",NA
"Port Jefferson","New York","United States","2,000","2,000","","","Source 1",NA,NA,"Port Jefferson, New York","Port Jefferson, New York, United States",NA,NA,"http://www.newsday.com/long-island/women-s-values-rallies-in-huntington-port-jefferson-station-1.12993518"
"Port Jervis","New York","United States","350","500","","","Source 1 :  onsite eyewitness via google form","Source 2",NA,"Port Jervis, New York","Port Jervis, New York, United States",NA,"http://www.recordonline.com/news/20170121/port-jervis-churchs-sister-march-draws-crowd",NA
"Port Orford","Oregon","United States","280","300","","","Source 1 :  onsite eyewitness via google form; did headcount",NA,NA,"Port Orford, Oregon","Port Orford, Oregon, United States",NA,NA,NA
"Port Townsend","Washington","United States","300","1,000","","","Source 1","Source 2 :  FB",NA,"Port Townsend, Washington","Port Townsend, Washington, United States",NA,NA,"http://www.peninsuladailynews.com/news/some-300-protesters-march-in-port-townsend/"
"Portales","New Mexico","United States","50","50","","","Source 1",NA,NA,"Portales, New Mexico","Portales, New Mexico, United States",NA,NA,"http://www.easternnewmexiconews.com/story/2017/01/22/news/we-will-be-heard/150454.html"
"Portland","Maine","United States","10,000","10,000","","","Source 1",NA,NA,"Portland, Maine","Portland, Maine, United States",NA,NA,"http://www.pressherald.com/2017/01/21/signs-sentiments-crowd-eastern-prom-for-womens-march/"
"Portland","Oregon","United States","70,000","100,000","","","Source 1","Source 2",NA,"Portland, Oregon","Portland, Oregon, United States",NA,"http://www.oregonlive.com/portland/index.ssf/2017/01/portland_womens_march_donald_t.html","https://twitter.com/scaackler/status/822995313703075840"
"Portland","Oregon","United States","55","60","","","Source 1 :  Eyewitness on site",NA,NA,"Portland, Oregon","Portland, Oregon, United States",NA,NA,NA
"Portsmouth","New Hampshire","United States","3,000","5,000","","","Source 1",NA,NA,"Portsmouth, New Hampshire","Portsmouth, New Hampshire, United States",NA,NA,"http://www.seacoastonline.com/news/20170121/portsmouth-womens-march-draws-thousands"
"Potsdam","New York","United States","18","22","","","Source 1 :  Eyewitness on site",NA,NA,"Potsdam, New York","Potsdam, New York, United States",NA,NA,NA
"Poughkeepsie","New York","United States","4,000","7,716","","","Source 1","Source 2 :  Eyewitness on site; counted marchers with a clicker","Source 3","Poughkeepsie, New York","Poughkeepsie, New York, United States","http://www.poughkeepsiejournal.com/story/news/local/2017/01/21/womens-march-walkway-poughkeepsie-trump/96877094/",NA,"https://www.facebook.com/rivera.sun.3?fref=nf&pnref=story.unseen-section"
"Prescott","Arizona","United States","1,200","1,200","","","Source 1",NA,NA,"Prescott, Arizona","Prescott, Arizona, United States",NA,NA,"http://www.dcourier.com/photos/galleries/2017/jan/21/womens-march-in-prescott/"
"Providence","Rhode Island","United States","5,000","7,000","","","Source 1","Source 2",NA,"Providence, Rhode Island","Providence, Rhode Island, United States",NA,"https://twitter.com/JohnMarionjr/status/822980976628404226","http://www.providencejournal.com/news/20170121/from-providence-to-washington-rhode-islanders-turn-out-to-send-trump-message"
"Provincetown","Massachusetts","United States","300","300","","","Source 1",NA,NA,"Provincetown, Massachusetts","Provincetown, Massachusetts, United States",NA,NA,"http://capecodwave.com/provincetown-womens-march-going-speak/"
"Quincy","California","United States","50","105","","","Source 1 :  Eyewitness on site","Source 2 :  Eyewitness on site; performed head count",NA,"Quincy, California","Quincy, California, United States",NA,NA,NA
"Raleigh","North Carolina","United States","17,000","20,000","","","Source 1","Source 2 :  organizers click count",NA,"Raleigh, North Carolina","Raleigh, North Carolina, United States",NA,NA,"http://www.wral.com/organizers-estimate-17-000-gather-in-raleigh-for-women-s-march/16456580/"
"Rapid City","South Dakota","United States","1,000","2,000","","","Source 1","Source 2 :  FB",NA,"Rapid City, South Dakota","Rapid City, South Dakota, United States",NA,NA,"https://twitter.com/ThatBrandyn/status/822891625676275712"
"Reading","Pennsylvania","United States","100","450","","","Source 1","Source 2",NA,"Reading, Pennsylvania","Reading, Pennsylvania, United States",NA,"https://twitter.com/franko353/status/824010407299969024","http://www.readingeagle.com/news/article/crowds-gather-in-city-park-in-reading-for-sister-march"
"Red Bank","New Jersey","United States","200","400","","","Source 1 :  newjersey.news12.com/multimedia/hundreds-march-in-solidarity-in-red-bank-1.12994794","Source 2",NA,"Red Bank, New Jersey","Red Bank, New Jersey, United States",NA,"http://www.redbankgreen.com/2017/01/red-bank-women-unite-against-unnamed-president/",NA
"Redding","California","United States","300","300","","","Source 1",NA,NA,"Redding, California","Redding, California, United States",NA,NA,"http://www.redding.com/story/news/local/2017/01/21/live-tweets-womens-march-redding-city-hall/96882162/"
"Redondo Beach","California","United States","2,000","2,000","","","Source 1",NA,NA,"Redondo Beach, California","Redondo Beach, California, United States",NA,NA,"http://www.easyreadernews.com/144169/redondo-beach-womens-march-draws-1800-participants/"
"Redwood City","California","United States","2,500","2,500","","","Source 1",NA,NA,"Redwood City, California","Redwood City, California, United States",NA,NA,"https://twitter.com/AlexHorovitz/status/822997333151387649"
"Reno","Nevada","United States","10,000","10,000","","","Source 1",NA,NA,"Reno, Nevada","Reno, Nevada, United States",NA,NA,"http://www.rgj.com/story/news/2017/01/21/s-change-reno-womens-march-washington/96888834/"
"Richland","Washington","United States","1,000","2,500","","","Source 1","Source 2 :  Twitter",NA,"Richland, Washington","Richland, Washington, United States",NA,NA,"http://www.tri-cityherald.com/news/local/article128022844.html"
"Richmond","Virginia","United States","2,000","2,000","","1","Source 1",NA,NA,"Richmond, Virginia","Richmond, Virginia, United States",NA,NA,"http://richmondfreepress.com/news/2017/jan/20/thousands-join-march-monument-message-equality-uni/"
"Ridgecrest","California","United States","180","200","","","Source 1 :  onsite eyewitness; headcount at start with others joining along route","Source 2",NA,"Ridgecrest, California","Ridgecrest, California, United States",NA,"https://www.facebook.com/events/1205981132842221/?ti=as",NA
"Ridgway","Colorado","United States","50","150","","","Source 1 :  FB","Source 2",NA,"Ridgway, Colorado","Ridgway, Colorado, United States",NA,"https://m.facebook.com/CalmUnityRidgway/",NA
"Riegelsville","Pennsylvania","United States","170","200","","","Source 1 :  Bucks County Courier Times","Source 2 :  Eyewitness report",NA,"Riegelsville, Pennsylvania","Riegelsville, Pennsylvania, United States",NA,NA,NA
"Riverside","California","United States","4,000","4,000","","","Source 1",NA,NA,"Riverside, California","Riverside, California, United States",NA,NA,"http://www.pasadenastarnews.com/general-news/20170121/thousands-of-women-others-rally-in-riverside-to-protest-trumps-policies"
"Roanoke","Virginia","United States","3,000","4,500","","","Source 1","Source 2",NA,"Roanoke, Virginia","Roanoke, Virginia, United States",NA,"http://fromtheeditr.blogspot.com/2017/01/big-festive-crowd-for-roanoke-womens.html?m=1","http://www.wdbj7.com/content/news/Thousands-marched-for-women-in-Roanoke-411421475.html"
"Rochester","Minnesota","United States","600","1,000","","","Source 1","Source 2",NA,"Rochester, Minnesota","Rochester, Minnesota, United States",NA,"https://twitter.com/water_violin/status/822997922757349376","https://twitter.com/water_violin/status/822997922757349376"
"Rochester","New York","United States","1,500","2,000","","","Source 1","Source 2",NA,"Rochester, New York","Rochester, New York, United States",NA,"https://t.co/iyjFHSXHEq","http://www.democratandchronicle.com/story/news/2017/01/21/women-upset-trumps-presidency-hold-rallies-locally/96715496/"
"Rock Springs","Wyoming","United States","90","120","","","Source 1 :  Eyewitness on site",NA,NA,"Rock Springs, Wyoming","Rock Springs, Wyoming, United States",NA,NA,NA
"Rockford","Illinois","United States","1,000","1,000","","","Source 1",NA,NA,"Rockford, Illinois","Rockford, Illinois, United States",NA,NA,"http://www.rrstar.com/news/20170121/crowds-pack-downtown-rockford-for-womens-march-protest"
"Romney","West Virginia","United States","30","50","","","Source 1 :  Onsite eyewitness; headcount",NA,NA,"Romney, West Virginia","Romney, West Virginia, United States",NA,NA,NA
"Roswell","New Mexico","United States","2","2","","","Source 1 :  via email 
",NA,NA,"Roswell, New Mexico","Roswell, New Mexico, United States",NA,NA,NA
"Roxbury","Connecticut","United States","15","100","","","Source 1","Source 2 :  onsite eyewitness did headcount at 100",NA,"Roxbury, Connecticut","Roxbury, Connecticut, United States",NA,NA,"https://www.facebook.com/barbara.mathews/posts/10154936948567766 "
"St. Augustine","Florida","United States","1,000","2,000","","","Source 1","Source 2","Source 3 :  eyewitness onsite via google form","St. Augustine, Florida","St. Augustine, Florida, United States",NA,"http://staugustine.com/news-local-news/2017-01-22/together-st-augustine-marches-strong","http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372"
"St. Cloud","Minnesota","United States","","","","40","Source 1",NA,NA,"St. Cloud, Minnesota","St. Cloud, Minnesota, United States",NA,NA,"http://www.sctimes.com/story/news/local/2017/01/20/st-cloud-mixed-reaction-president-trump/96837370/"
"St. Croix","Virgin Islands","United States","250","250","","","Source 1",NA,NA,"St. Croix, Virgin Islands","St. Croix, Virgin Islands, United States",NA,NA,"http://viconsortium.com/virgin-islands-2/watch-usvi-joins-u-s-world-womens-march-protesting-trump-inauguration/"
"St. George","Utah","United States","1,200","1,475","","","Source 1 :  organizer head count","Source 2 :  FB (source on site)",NA,"St. George, Utah","St. George, Utah, United States",NA,NA,NA
"St. John","Virginia","United States","","","","",NA,NA,NA,"St. John, Virginia","St. John, Virginia, United States",NA,NA,NA
"St. John","Virgin Islands","United States","60","60","","","Source 1 :  Eyewitness onsite; photographic evidence",NA,"Source 3","St. John, Virgin Islands","St. John, Virgin Islands, United States","http://viconsortium.com/virgin-islands-2/watch-usvi-joins-u-s-world-womens-march-protesting-trump-inauguration/",NA,NA
"St. Johnsbury","Vermont","United States","50","70","","","Source 1","Source 2 :  onsite eyewitness with headcount via photo",NA,"St. Johnsbury, Vermont","St. Johnsbury, Vermont, United States",NA,NA,"http://www.caledonianrecord.com/news/local/large-crowd-turns-out-for-march-in-st-johnsbury/article_79fb1b0b-82c7-5f2a-91f4-c8a7be03f7b9.html"
"St. Joseph","Michigan","United States","60","60","","","Source 1",NA,NA,"St. Joseph, Michigan","St. Joseph, Michigan, United States",NA,NA,"http://www.wirx.com/2017/01/23/womens-march-held-in-st-joseph/"
"St. Louis","Missouri","United States","10,000","20,000","","","Source 1",NA,"Source 3 :  FB","St. Louis, Missouri","St. Louis, Missouri, United States",NA,NA,"http://www.stltoday.com/news/local/govt-and-politics/thousands-take-part-in-st-louis-women-s-march-protesting/article_0866b5f9-d4ce-507d-9be1-792e599713d7.html"
"St. Mary's City","Maryland","United States","10","10","","","Source 1","Source 2 :  onsite eyewitness via google form",NA,"St. Mary's City, Maryland","St. Mary's City, Maryland, United States",NA,NA,"https://www.facebook.com/eric.heisler.79/posts/10210356063470308"
"St. Mary of the Woods","Indiana","United States","180","200","","","Source 1",NA,NA,"St. Mary of the Woods, Indiana","St. Mary of the Woods, Indiana, United States",NA,NA,"http://www.tribstar.com/news/local_news/wabash-valley-residents-gather-in-solidarity-with-marchers-in-washington/article_49969ab3-c25d-52a1-b185-aa99dd701846.html"
"St. Paul/Minneapolis","Minnesota","United States","90,000","100,000","","","Source 1",NA,NA,"St. Paul/Minneapolis, Minnesota","St. Paul/Minneapolis, Minnesota, United States",NA,NA,"https://twitter.com/sppdPIO/status/822974502434930688"
"St. Petersburg","Florida","United States","20,000","20,000","","","Source 1",NA,NA,"St. Petersburg, Florida","St. Petersburg, Florida, United States",NA,NA,"http://www.tampabay.com/news/politics/elections/womens-march-surpassed-20000-protesters-making-it-largest-in-st-petersburg/2310416"
"St. Thomas","Virgin Islands","United States","","","","","Source 1",NA,NA,"St. Thomas, Virgin Islands","St. Thomas, Virgin Islands, United States",NA,NA,"http://viconsortium.com/virgin-islands-2/watch-usvi-joins-u-s-world-womens-march-protesting-trump-inauguration/"
"Sacramento","California","United States","20,000","38,000","","","Source 1","Source 2 :  Eyewitness on site; calculated crowd density and speed","Source 3","Sacramento, California","Sacramento, California, United States","http://fox40.com/2017/01/21/thousands-join-womens-march-on-sacramento-to-protest-president-trump/",NA,"http://www.sacbee.com/news/local/article127914504.html"
"Sag Harbor","New York","United States","250","250","","","Source 1",NA,NA,"Sag Harbor, New York","Sag Harbor, New York, United States",NA,NA,"http://easthamptonstar.com/News/7/East-Enders-Marched-Washington-NYC-and-Sag-Harbor"
"Salem","Oregon","United States","1,000","4,200","","","Source 1","Source 2 :  Eyewitness estimate based on video footage",NA,"Salem, Oregon","Salem, Oregon, United States",NA,NA,"http://www.statesmanjournal.com/story/news/2017/01/21/womens-march-salem-unites-thousands-people/96850428/"
"Salem","Wisconsin","United States","2","2","","","Source 1 :  eyewitness onsite",NA,NA,"Salem, Wisconsin","Salem, Wisconsin, United States",NA,NA,NA
"Salida","Colorado","United States","40","50","","","Source 1",NA,NA,"Salida, Colorado","Salida, Colorado, United States",NA,NA,"http://www.themountainmail.com/free_content/article_16fc9b52-e185-11e6-a2aa-2b737598eb38.html"
"Salinas","California","United States","80","80","","","Source 1",NA,NA,"Salinas, California","Salinas, California, United States",NA,NA,"http://www.montereyherald.com/government-and-politics/20170120/trump-inauguration-unites-participants-in-protests-on-monterey-peninsula-salinas"
"Salisbury","Connecticut","United States","200","434","","","Source 1","Source 2 :  Eyewitness on site; counted marchers",NA,"Salisbury, Connecticut","Salisbury, Connecticut, United States",NA,NA,"https://twitter.com/jahansell/status/823009339174780928"
"Salt Lake City","Utah","United States","1,000","1,000","","1","Source 1",NA,NA,"Salt Lake City, Utah","Salt Lake City, Utah, United States",NA,NA,"http://www.sltrib.com/home/4843395-155/about-1000-utahns-rally-against-president"
"Salt Lake City","Utah","United States","6,000","10,000","","1","Source 1","Source 2",NA,"Salt Lake City, Utah","Salt Lake City, Utah, United States",NA,"http://kutv.com/news/local/womens-march-draws-unprecedented-numbers-to-state-capitol","http://kutv.com/news/local/thousands-gather-for-utah-women-unite-march-at-utah-capitol-rotunda"
"San Anselmo","California","United States","4","4","","","Source 1 :  Eyewitness on site",NA,NA,"San Anselmo, California","San Anselmo, California, United States",NA,NA,NA
"San Antonio","Texas","United States","1,500","3,000","","","Source 1","Source 2",NA,"San Antonio, Texas","San Antonio, Texas, United States",NA,"eyewitness and http://www.kens5.com/news/politics/national-politics/thousands-take-part-in-march-against-hate-in-san-antonio/389733191","http://www.mysanantonio.com/news/local/article/Women-in-San-Antonio-take-to-the-streets-to-10873833.php"
"San Bernardino","California","United States","80","80","","","Source 1","Source 2",NA,"San Bernardino, California","San Bernardino, California, United States",NA,"http://www.sbsun.com/general-news/20170121/inland-empire-residents-rally-march-against-trump-administration","http://www.pe.com/articles/san-823719-bernardino-participated.html"
"San Clemente","California","United States","100","200","","","Source 1 :  San Clemente Times",NA,NA,"San Clemente, California","San Clemente, California, United States",NA,NA,NA
"San Diego","California","United States","30,000","40,000","","","Source 1","Source 2",NA,"San Diego, California","San Diego, California, United States",NA,"http://www.kpbs.org/news/2017/jan/20/thousands-san-diegans-march-womens-rights/","http://www.kpbs.org/news/2017/jan/20/thousands-san-diegans-march-womens-rights/"
"San Francisco","California","United States","100,000","150,000","","","Source 1","Source 2",NA,"San Francisco, California","San Francisco, California, United States",NA,"http://www.sfexaminer.com/sf-womens-march-draws-thousands-despite-stormy-weather/","http://sanfrancisco.cbslocal.com/2017/01/21/huge-crowd-san-francisco-rally-womens-march/"
"San Jose","California","United States","25,000","40,000","","","Source 1","Source 2","Source 3","San Jose, California","San Jose, California, United States","http://www.mercurynews.com/2017/01/21/womens-march-huge-bay-area-turnout-as-california-resistance-takes-hold/","https://twitter.com/metronewspaper/status/822932902891524097","http://www.sfchronicle.com/bayarea/article/Crowds-gather-to-demonstrate-against-Trump-10873932.php"
"San Juan","PR","United States","200","400","","","Source 1 :  onsite eyewtiness w photo",NA,NA,"San Juan, PR","San Juan, PR, United States",NA,NA,NA
"San Juan Island","Washington","United States","","","","","Source 1 :  See Friday Harbor, WA",NA,NA,"San Juan Island, Washington","San Juan Island, Washington, United States",NA,NA,NA
"San Leandro","California","United States","","","","",NA,NA,NA,"San Leandro, California","San Leandro, California, United States",NA,NA,NA
"San Luis Obispo","California","United States","7,000","10,000","","","Source 1","Source 2",NA,"San Luis Obispo, California","San Luis Obispo, California, United States",NA,"http://snewsi.com/id/17147530942/Thousands-march-despite-rain-Saturday-in-San-Luis-Obispo","http://www.sanluisobispo.com/news/local/article128024209.html"
"San Marcos","California","United States","3,000","10,000","","","Source 1","Source 2",NA,"San Marcos, California","San Marcos, California, United States",NA,"http://escondidograpevine.com/2017/01/22/10000-join-san-marcos-womens-march/","http://www.sandiegouniontribune.com/communities/north-county/sd-no-san-marcos-march-20170119-story.html"
"San Rafael","California","United States","500","500","","","Source 1 :  FB",NA,NA,"San Rafael, California","San Rafael, California, United States",NA,NA,NA
"Sanford","Maine","United States","100","130","","","Source 1","Source 2 :  onsite eyewitness",NA,"Sanford, Maine","Sanford, Maine, United States",NA,NA,"http://www.journaltribune.com/news/2017-01-23/Front_Page/Were_all_one.html"
"Sandpoint","Idaho","United States","800","1000","","","Source 1",NA,NA,"Sandpoint, Idaho","Sandpoint, Idaho, United States",NA,NA,"http://www.bonnercountydailybee.com/local_news/20170121/marching_together_north_idaho_style"
"Sandy","Oregon","United States","","","","",NA,NA,NA,"Sandy, Oregon","Sandy, Oregon, United States",NA,NA,NA
"Santa Ana","California","United States","20,000","25,000","","","Source 1","Source 2",NA,"Santa Ana, California","Santa Ana, California, United States",NA,"http://www.ocregister.com/articles/march-741832-women-people.html","http://www.ocregister.com/articles/march-741832-women-people.html"
"Santa Barbara","California","United States","5,000","8,000","","","Source 1","Source 2",NA,"Santa Barbara, California","Santa Barbara, California, United States",NA,"http://www.edhat.com/site/tidbit.cfm?nid=180540","http://www.edhat.com/site/tidbit.cfm?nid=180540"
"Santa Cruz","California","United States","8,000","15,000","","","Source 1","Source 2",NA,"Santa Cruz, California","Santa Cruz, California, United States",NA,"https://twitter.com/FamDoc_Forest/status/823087533194027008","http://www.santacruzsentinel.com/government-and-politics/20170121/thousands-of-protesters-swarm-downtown-santa-cruz"
"Santa Fe","New Mexico","United States","10,000","17,000","","","Source 1","Source 2 :  Facebook",NA,"Santa Fe, New Mexico","Santa Fe, New Mexico, United States",NA,NA,"http://www.santafenewmexican.com/news/local_news/santa-feans-flood-downtown-streets-in-display-of-anger-hope/article_8bf2bb24-b83f-51e3-8434-8a18223dac5d.html"
"Santa Rosa","California","United States","5,000","5,000","","","Source 1","Source 2",NA,"Santa Rosa, California","Santa Rosa, California, United States",NA,"http://www.pressdemocrat.com/news/6546166-181/womens-marchers-to-descend-on?artslide=0","https://www.facebook.com/SantaRosaPoliceDepartment/"
"Santurce","PR","United States","","","","",NA,NA,NA,"Santurce, PR","Santurce, PR, United States",NA,NA,NA
"Sarasota","Florida","United States","7,500","10,000","","","Source 1","Source 2",NA,"Sarasota, Florida","Sarasota, Florida, United States",NA,"http://www.heraldtribune.com/news/20170121/thousands-turn-out-for-sarasota-womens-solidarity-march?start=2","https://twitter.com/sarasotapd/status/822888985689292800"
"Saugatuck","Michigan","United States","200","2,000","","","Source 1","Source 2",NA,"Saugatuck, Michigan","Saugatuck, Michigan, United States",NA,"https://www.facebook.com/newsandguts/photos/pb.199870617084581.-2207520000.1485020488./204978426573800/?type=3&theater","http://wincountry.com/news/articles/2017/jan/22/women-march-in-washington-and-in-michigan/"
"Sault Ste Marie","Michigan","United States","40","40","","","Source 1",NA,NA,"Sault Ste Marie, Michigan","Sault Ste Marie, Michigan, United States",NA,NA,"https://www.sootoday.com/local-news/women-resist-on-queen-street-516643"
"Sausalito","California","United States","3","3","","","Source 1 :  Eyewitness onsite",NA,NA,"Sausalito, California","Sausalito, California, United States",NA,NA,NA
"Savannah","Georgia","United States","1,000","1,000","","","Source 1",NA,NA,"Savannah, Georgia","Savannah, Georgia, United States",NA,NA,"http://savannahnow.com/news/2017-01-21/hundreds-march-downtown-savannah-promote-women-s-rights-oppose-trump"
"Saxaphaw","North Carolina","United States","80","80","","","Source 1",NA,NA,"Saxaphaw, North Carolina","Saxaphaw, North Carolina, United States",NA,NA,"https://twitter.com/HandyVillage/status/823178636790468609"
"Seaside","California","United States","1,000","2,000","","","Source 1","Source 2",NA,"Seaside, California","Seaside, California, United States",NA,"http://www.montereyherald.com/social-affairs/20170121/womens-march-csumb-thousands-protest-trump","http://www.ksbw.com/article/women-s-march-brings-hundreds-to-csumb-campus/8626551"
"Seattle","Washington","United States","100,000","175,000","","","Source 1","Source 2 :  Local FOX News network",NA,"Seattle, Washington","Seattle, Washington, United States",NA,NA,"http://www.seattletimes.com/seattle-news/politics/live-updates-womens-marches-seattle-dc-day-after-trump-inauguration/"
"Sedona","Arizona","United States","1,000","1,000","","","Source 1 :  FB",NA,NA,"Sedona, Arizona","Sedona, Arizona, United States",NA,NA,NA
"Seldovia","Alaska","United States","41","41","","","Source 1 :  via email ",NA,NA,"Seldovia, Alaska","Seldovia, Alaska, United States",NA,NA,NA
"Selingsgrove","Pennsylvania","United States","119","119","","","Source 1 :  FB",NA,NA,"Selingsgrove, Pennsylvania","Selingsgrove, Pennsylvania, United States",NA,NA,NA
"Seneca Falls","New York","United States","10,000","10,000","","","Source 1","Source 2",NA,"Seneca Falls, New York","Seneca Falls, New York, United States",NA,"http://www.democratandchronicle.com/story/news/2017/01/21/women-upset-trumps-presidency-hold-rallies-locally/96715496/","http://fingerlakes1.com/2017/01/21/full-coverage-women-march-in-seneca-falls-2017/"
"Sequim","Washington","United States","300","500","","","Source 1",NA,NA,"Sequim, Washington","Sequim, Washington, United States",NA,NA,"https://twitter.com/davidacody/status/823226017674248196"
"Seward","Alaska","United States","54","70","","","Source 1 :  onsite count via Twitter (w/ photo)","Source 2",NA,"Seward, Alaska","Seward, Alaska, United States",NA,"https://twitter.com/sewardsooz/status/823238733054914560",NA
"Sharon","Pennsylvania","United States","700","700","","","Source 1",NA,NA,"Sharon, Pennsylvania","Sharon, Pennsylvania, United States",NA,NA,"http://www.sharonherald.com/news/local_news/many-feet-one-voice/article_bba9716e-cc03-597c-8be8-ade51955213d.html"
"Sheboygan","Wisconsin","United States","300","500","","","Source 1",NA,NA,"Sheboygan, Wisconsin","Sheboygan, Wisconsin, United States",NA,NA,"http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/"
"Show Low","Arizona","United States","1","1","","","Source 1",NA,NA,"Show Low, Arizona","Show Low, Arizona, United States",NA,NA,"https://twitter.com/LynnMRichards/status/823171903464407040"
"Shreveport/Bossier","Louisiana","United States","200","1,000","","","Source 1","Source 2","Source 3","Shreveport/Bossier, Louisiana","Shreveport/Bossier, Louisiana, United States","http://www.shreveporttimes.com/story/news/2017/01/21/womens-march-shreveport-bossier-held-saturday-were-not-going-away/96774386/","https://www.facebook.com/events/195167907553867/permalink/204120623325262/","http://www.ksla.com/story/34314150/large-crowd-marches-in-downtown-shreveport-in-solidarity-with-womens-march-in-dc"
